airport_name,country_name,continents,departure_date,arrival_airport,pilot_name,flight_status
Paderborn Lippstadt Airport,Germany,Europe,2022-04-24 00:00:00,PAD,Raquel Eversley,Delayed
Álamos Airport,Mexico,North America,2022-06-30 00:00:00,XAL,Dierdre Hubberstey,Delayed
Dresden Airport,Germany,Europe,2022-01-18 00:00:00,DRS,Maryl Tuison,Delayed
General Roberto Fierro Villalobos International Airport,Mexico,North America,2022-01-11 00:00:00,CUU,Darin Velasquez,On Time
Rochester Airport,United Kingdom,Europe,2022-01-22 00:00:00,RCS,Nicoline Peealess,Delayed
Comodoro Pierrestegui Airport,Argentina,South America,2022-05-03 00:00:00,COC,Fons Etteridge,Cancelled
RAF Alconbury,United Kingdom,Europe,2022-05-30 00:00:00,AYH,Maximilian Fieldhouse,Cancelled
Resistencia International Airport,Argentina,South America,2022-11-03 00:00:00,RES,Andrew Swaysland,On Time
Xoxocotlán International Airport,Mexico,North America,2022-09-14 00:00:00,OAX,Kora Scad,Cancelled
Goya Airport,Argentina,South America,2022-11-15 00:00:00,OYA,Dimitry Heinonen,Delayed
Ciudad Obregón International Airport,Mexico,North America,2022-03-14 00:00:00,CEN,Pietrek O'Hickee,Delayed
RAF Northolt,United Kingdom,Europe,2022-01-29 00:00:00,NHT,Penny Utting,On Time
Olbia Costa Smeralda Airport,Italy,Europe,2022-08-09 00:00:00,OLB,Anna-diane Bentzen,On Time
Francisco Sarabia International Airport,Mexico,North America,2022-12-24 00:00:00,TRC,Karin Kinzett,On Time
General Ignacio P. Garcia International Airport,Mexico,North America,2022-10-09 00:00:00,HMO,Osbourn Grabban,Cancelled
Aosta Airport,Italy,Europe,2022-12-04 00:00:00,AOT,Gusella Waterfield,Cancelled
San Quintín Military Airstrip,Mexico,North America,2022-06-06 00:00:00,SNQ,Lela Saltern,Cancelled
Gobernador Castello Airport,Argentina,South America,2022-02-03 00:00:00,VDM,Dalis Lerego,On Time
Norwich International Airport,United Kingdom,Europe,2022-10-17 00:00:00,NWI,Korry Tissier,Cancelled
Wyk auf Föhr Airport,Germany,Europe,2022-10-21 00:00:00,OHR,Paolina Stribbling,Delayed
Ciudad Constitución Airport,Mexico,North America,2022-09-03 00:00:00,CUA,Carree Simeons,Cancelled
Bremen Airport,Germany,Europe,2022-05-23 00:00:00,BRE,Dionis Joist,Delayed
Charata Airport,Argentina,South America,2022-04-25 00:00:00,CNT,Sarge Kippin,On Time
Taranto-Grottaglie Marcello Arlotta Airport,Italy,Europe,2022-01-23 00:00:00,TAR,Wenda McBeith,Delayed
George Best Belfast City Airport,United Kingdom,Europe,2022-04-08 00:00:00,BHD,Michail Viscovi,On Time
Reconquista Airport,Argentina,South America,2022-04-07 00:00:00,RCQ,Glenna Millar,Delayed
Monte Caseros Airport,Argentina,South America,2022-12-10 00:00:00,MCS,Rachele Beeck,Delayed
General Heriberto Jara International Airport,Mexico,North America,2022-01-01 00:00:00,VER,Vidovik Anand,On Time
Weeze Airport,Germany,Europe,2022-10-09 00:00:00,NRN,Judah Grut,Delayed
Berlin Brandenburg Airport (U.C.),Germany,Europe,2022-05-14 00:00:00,BER,Piggy Macey,On Time
General Enrique Mosconi Airport,Argentina,South America,2022-08-28 00:00:00,TTG,Milt Saddleton,Cancelled
Rafaela Airport,Argentina,South America,2022-06-04 00:00:00,RAF,Irv Accum,On Time
Warton Airport,United Kingdom,Europe,2022-11-14 00:00:00,WRT,Wilmette Iacovozzo,On Time
Hermes Quijada International Airport,Argentina,South America,2022-09-17 00:00:00,RGA,Perry Pellman,On Time
Termal Airport,Argentina,South America,2022-04-13 00:00:00,PRQ,Vachel Kennally,Cancelled
Ravenna Airport,Italy,Europe,2022-07-31 00:00:00,RAN,Cointon Duquesnay,On Time
Tortolì Airport,Italy,Europe,2022-12-21 00:00:00,TTB,Dionne Drummond,On Time
Bolzano Airport,Italy,Europe,2022-12-18 00:00:00,BZO,Paxon Samsonsen,Delayed
General Heriberto Jara International Airport,Mexico,North America,2022-05-25 00:00:00,VER,Lonnie Summerell,Delayed
RAF Wildenrath,Germany,Europe,2022-11-26 00:00:00,WID,Murvyn Channer,Delayed
Treviso-Sant'Angelo Airport,Italy,Europe,2022-01-09 00:00:00,TSF,Reilly Smeaton,Delayed
Cochstedt Airport,Germany,Europe,2022-01-02 00:00:00,CSO,Alexia Busen,On Time
Edinburgh Airport,United Kingdom,Europe,2022-08-21 00:00:00,EDI,Constancia Iacopetti,Cancelled
Flugplatz Güttin / Rügen,Germany,Europe,2022-08-13 00:00:00,GTI,Janine Rainard,Delayed
Vicenza Airport,Italy,Europe,2022-05-03 00:00:00,VIC,Ianthe Asman,On Time
Trieste–Friuli Venezia Giulia Airport,Italy,Europe,2022-05-13 00:00:00,TRS,Yolande Facchini,Cancelled
Marina Di Campo Airport,Italy,Europe,2022-06-26 00:00:00,EBA,Fabian Huffer,Delayed
Comandante Espora Airport,Argentina,South America,2022-03-05 00:00:00,BHI,Jerrold Hearnaman,On Time
Comiso Airport,Italy,Europe,2022-12-25 00:00:00,CIY,Cheryl Ilott,Delayed
Borkum Airport,Germany,Europe,2022-11-28 00:00:00,BMK,Doreen Codd,On Time
Westerland Sylt Airport,Germany,Europe,2022-01-26 00:00:00,GWT,Elvyn Cozzi,On Time
Kent International Airport,United Kingdom,Europe,2022-02-01 00:00:00,MSE,Toddy Bothbie,Delayed
Abreojos Airport,Mexico,North America,2022-12-15 00:00:00,AJS,Roscoe Bonham,Cancelled
Peenemünde Airport,Germany,Europe,2022-11-28 00:00:00,PEF,Carroll Lovelock,On Time
RNAS Yeovilton,United Kingdom,Europe,2022-08-31 00:00:00,YEO,Denna Neagle,Cancelled
Francisco Primo de Verdad y Ramos Airport,Mexico,North America,2022-03-07 00:00:00,LOM,Gannon Kiendl,Cancelled
La Plata Airport,Argentina,South America,2022-05-31 00:00:00,LPG,Laurianne Croxford,Delayed
RAF Northolt,United Kingdom,Europe,2022-04-19 00:00:00,NHT,Terence Skocroft,Delayed
El Bolson Airport,Argentina,South America,2022-11-13 00:00:00,EHL,Ernesto Mettrick,Cancelled
Mulege Airport,Mexico,North America,2022-06-17 00:00:00,MUG,Vinson Penchen,On Time
Sywell Aerodrome,United Kingdom,Europe,2022-05-03 00:00:00,ORM,Elie Haswall,On Time
Angel Albino Corzo International Airport,Mexico,North America,2022-05-17 00:00:00,TGZ,Abagail St. Quintin,On Time
St. Mary's Airport,United Kingdom,Europe,2022-10-30 00:00:00,ISC,Etty Havvock,Cancelled
Pescara International Airport,Italy,Europe,2022-04-02 00:00:00,PSR,Krystyna Foukx,Cancelled
Liverpool John Lennon Airport,United Kingdom,Europe,2022-01-31 00:00:00,LPL,Leonerd Burling,Delayed
Southend Airport,United Kingdom,Europe,2022-04-09 00:00:00,SEN,Annadiane Andor,On Time
Brindisi – Salento Airport,Italy,Europe,2022-03-28 00:00:00,BDS,Chase Maccaddie,Cancelled
Orán Airport,Argentina,South America,2022-09-20 00:00:00,ORA,Benji Howatt,On Time
Olavarria Airport,Argentina,South America,2022-08-18 00:00:00,OVR,Cyrille Fomichyov,Cancelled
Villa Gesell Airport,Argentina,South America,2022-09-04 00:00:00,VLG,Kessia Hyman,On Time
San Carlos De Bariloche Airport,Argentina,South America,2022-08-23 00:00:00,BRC,Caressa Mabson,Delayed
Zweibrücken Airport,Germany,Europe,2022-03-26 00:00:00,ZQW,Evan Graysmark,Cancelled
Husum-Schwesing Airport,Germany,Europe,2022-09-18 00:00:00,QHU,Xylia Ginnell,On Time
Coll Airport,United Kingdom,Europe,2022-01-26 00:00:00,COL,Fanchon Dufall,On Time
George Best Belfast City Airport,United Kingdom,Europe,2022-01-31 00:00:00,BHD,Lonee Harlett,Cancelled
Whalsay Airport,United Kingdom,Europe,2022-07-22 00:00:00,WHS,Britni Songer,Cancelled
Palenque International Airport,Mexico,North America,2022-12-01 00:00:00,PQM,Jamie Ruck,On Time
Shoreham Airport,United Kingdom,Europe,2022-02-16 00:00:00,ESH,Claude Ivanisov,On Time
Berlin-Tempelhof International Airport,Germany,Europe,2022-07-31 00:00:00,THF,Rozalie Burchard,Cancelled
Cambridge Airport,United Kingdom,Europe,2022-09-06 00:00:00,CBG,Benson Peye,Cancelled
Lucca-Tassignano Airport,Italy,Europe,2022-03-15 00:00:00,LCV,Silvanus Colbridge,Delayed
RAF West Malling,United Kingdom,Europe,2022-09-15 00:00:00,WEM,Cy Lamputt,Delayed
Héroes De Malvinas Airport,Argentina,South America,2022-05-13 00:00:00,TDL,Dennie Lowndesbrough,Cancelled
Villa Gesell Airport,Argentina,South America,2022-03-15 00:00:00,VLG,Billie Shakeshaft,On Time
Il Caravaggio International Airport,Italy,Europe,2022-10-28 00:00:00,BGY,Lanny Mansour,On Time
El Calafate Airport,Argentina,South America,2022-10-25 00:00:00,FTE,Waly Lejeune,Cancelled
Comandante Espora Airport,Argentina,South America,2022-08-20 00:00:00,BHI,Guenevere Boullin,On Time
Wyk auf Föhr Airport,Germany,Europe,2022-02-15 00:00:00,OHR,Maximilianus Nutting,Delayed
Licenciado Adolfo Lopez Mateos International Airport,Mexico,North America,2022-11-17 00:00:00,TLC,Sarge Sadat,On Time
Rostock-Laage Airport,Germany,Europe,2022-07-26 00:00:00,RLG,Coriss Banane,Cancelled
Gobernador Gregores Airport,Argentina,South America,2022-03-15 00:00:00,GGS,Malina Gilphillan,Delayed
Licenciado y General Ignacio Lopez Rayon Airport,Mexico,North America,2022-01-03 00:00:00,UPN,Elden Norrington,Delayed
RAF Fairford,United Kingdom,Europe,2022-03-15 00:00:00,FFD,Ralf Burdass,On Time
Ministro Pistarini International Airport,Argentina,South America,2022-06-18 00:00:00,EZE,Erin Pietruschka,On Time
Oristano-Fenosu Airport,Italy,Europe,2022-02-10 00:00:00,FNU,Morna Farguhar,On Time
Bachigualato Federal International Airport,Mexico,North America,2022-01-27 00:00:00,CUL,Hillier Jeroch,On Time
London Luton Airport,United Kingdom,Europe,2022-12-19 00:00:00,LTN,Rosita Stuckford,Delayed
Cologne Bonn Airport,Germany,Europe,2022-01-12 00:00:00,CGN,Lilllie Shoobridge,Delayed
Resistencia International Airport,Argentina,South America,2022-01-24 00:00:00,RES,Maudie Weedon,Cancelled
Álamos Airport,Mexico,North America,2022-03-08 00:00:00,XAL,Harrie Goning,On Time
Jorge Newbery Airpark,Argentina,South America,2022-08-31 00:00:00,AEP,Howey Redshaw,Cancelled
Mönchengladbach Airport,Germany,Europe,2022-08-27 00:00:00,MGL,Debee Castleman,On Time
Unst Airport,United Kingdom,Europe,2022-01-24 00:00:00,UNT,Riccardo Bleesing,On Time
Düsseldorf Airport,Germany,Europe,2022-04-15 00:00:00,DUS,Kerwinn Boorman,Cancelled
RAF Cottesmore,United Kingdom,Europe,2022-06-08 00:00:00,OKH,Randell Heiner,Delayed
Punta Chivato Airport,Mexico,North America,2022-11-16 00:00:00,PCV,Genovera Hudspeth,On Time
Norden-Norddeich Airport,Germany,Europe,2022-02-04 00:00:00,NOD,Leila Togher,Delayed
St Angelo Airport,United Kingdom,Europe,2022-11-09 00:00:00,ENK,Thorstein Diggle,Delayed
Nottingham Airport,United Kingdom,Europe,2022-02-28 00:00:00,NQT,Gardie Farran,Delayed
St. Mary's Airport,United Kingdom,Europe,2022-01-11 00:00:00,ISC,Ruperta Pearman,On Time
Charata Airport,Argentina,South America,2022-12-14 00:00:00,CNT,Goldy Ealles,Cancelled
Suboficial Ay Santiago Germano Airport,Argentina,South America,2022-10-08 00:00:00,AFA,Bell Watkiss,Delayed
St. Mary's Airport,United Kingdom,Europe,2022-04-30 00:00:00,ISC,Jarrett Cream,On Time
Ciudad del Carmen International Airport,Mexico,North America,2022-08-20 00:00:00,CME,Gayel Yurmanovev,Delayed
Piedras Negras International Airport,Mexico,North America,2022-06-13 00:00:00,PDS,Lock Issacof,Delayed
Piloto Civil N. Fernández Airport,Argentina,South America,2022-10-16 00:00:00,RGL,Stephan Plumridge,On Time
Rostock-Laage Airport,Germany,Europe,2022-02-03 00:00:00,RLG,Robby Pauel,On Time
RAF Northolt,United Kingdom,Europe,2022-06-09 00:00:00,NHT,Christy McWard,On Time
Forlì Airport,Italy,Europe,2022-11-02 00:00:00,FRL,Daisy Yerill,Delayed
Altenburg-Nobitz Airport,Germany,Europe,2022-09-28 00:00:00,AOC,Darelle Howship,Delayed
Abreojos Airport,Mexico,North America,2022-09-12 00:00:00,AJS,Jonell Franca,On Time
London Biggin Hill Airport,United Kingdom,Europe,2022-12-25 00:00:00,BQH,Katherina Reiner,Delayed
Lucca-Tassignano Airport,Italy,Europe,2022-07-16 00:00:00,LCV,Claudio Betjeman,Cancelled
Foggia Gino Lisa Airport,Italy,Europe,2022-06-08 00:00:00,FOG,Cicely Sate,Cancelled
Illesheim Air Base,Germany,Europe,2022-05-06 00:00:00,ILH,Georg Greaves,Delayed
Karlsruhe Baden-Baden Airport,Germany,Europe,2022-07-18 00:00:00,FKB,Fannie Meriel,On Time
Heide-Büsum Airport,Germany,Europe,2022-01-24 00:00:00,HEI,Mandy Frangione,Delayed
Hamburg Airport,Germany,Europe,2022-07-26 00:00:00,HAM,Berthe Messom,Cancelled
St. Mary's Airport,United Kingdom,Europe,2022-07-23 00:00:00,ISC,Madelaine Ditchfield,On Time
Bristol Airport,United Kingdom,Europe,2022-02-23 00:00:00,BRS,Danice Purcell,On Time
Magdeburg City Airport,Germany,Europe,2022-10-22 00:00:00,ZMG,Reinhard Loveard,Cancelled
Kassel-Calden Airport,Germany,Europe,2022-05-04 00:00:00,KSF,Thorn Line,On Time
Fair Isle Airport,United Kingdom,Europe,2022-08-18 00:00:00,FIE,Phedra Ritchard,Delayed
Caleta Olivia Airport,Argentina,South America,2022-02-16 00:00:00,CVI,Ora Squelch,Cancelled
Comodoro Pierrestegui Airport,Argentina,South America,2022-07-01 00:00:00,COC,Fax Tante,On Time
Cozumel International Airport,Mexico,North America,2022-10-08 00:00:00,CZM,Clemmy Enochsson,Cancelled
RAF Coningsby,United Kingdom,Europe,2022-05-01 00:00:00,QCY,Marcel Reiling,Cancelled
Los Menucos Airport,Argentina,South America,2022-08-31 00:00:00,LMD,Bridgette Newrick,Delayed
La Cumbre Airport,Argentina,South America,2022-12-23 00:00:00,LCM,Daphna Parlett,Delayed
Weeze Airport,Germany,Europe,2022-10-07 00:00:00,NRN,Curcio Roskeilly,Cancelled
Captain Rogelio Castillo National Airport,Mexico,North America,2022-08-07 00:00:00,CYW,Aleen Macak,Delayed
San Domino Island Heliport,Italy,Europe,2022-04-17 00:00:00,TQR,Imojean Tomlett,Cancelled
Wyk auf Föhr Airport,Germany,Europe,2022-05-04 00:00:00,OHR,Jaime Verriour,On Time
Abreojos Airport,Mexico,North America,2022-09-01 00:00:00,AJS,Auroora Shieber,On Time
Licenciado Gustavo Díaz Ordaz International Airport,Mexico,North America,2022-04-17 00:00:00,PVR,Vivia Suche,Cancelled
Belluno Airport,Italy,Europe,2022-04-20 00:00:00,BLX,Camella Gensavage,Delayed
RAF Coningsby,United Kingdom,Europe,2022-01-23 00:00:00,QCY,Clyve Trowill,Delayed
Goya Airport,Argentina,South America,2022-01-01 00:00:00,OYA,Flore Abson,Delayed
Hamburg Airport,Germany,Europe,2022-02-09 00:00:00,HAM,Gregory Hedden,On Time
Land's End Airport,United Kingdom,Europe,2022-07-30 00:00:00,LEQ,Barrie Lerway,On Time
Hawarden Airport,United Kingdom,Europe,2022-07-18 00:00:00,CEG,Mill Heaney`,Delayed
Bayreuth Airport,Germany,Europe,2022-02-17 00:00:00,BYU,Rawley Pischel,On Time
London Luton Airport,United Kingdom,Europe,2022-04-09 00:00:00,LTN,Merrill Ransley,Cancelled
Valcheta Airport,Argentina,South America,2022-07-14 00:00:00,VCF,Gerome Abbie,Cancelled
Reconquista Airport,Argentina,South America,2022-10-29 00:00:00,RCQ,Andres Keeney,Cancelled
Riesa-Göhlis Airport,Germany,Europe,2022-08-14 00:00:00,IES,Jordanna Henriet,On Time
Del Bajío International Airport,Mexico,North America,2022-01-21 00:00:00,BJX,Katina Hearle,Cancelled
Ciudad Acuña New International Airport,Mexico,North America,2022-04-26 00:00:00,ACN,Marabel Lattey,Delayed
East Midlands Airport,United Kingdom,Europe,2022-04-14 00:00:00,EMA,Andee Newbigging,Delayed
Piedras Negras International Airport,Mexico,North America,2022-07-26 00:00:00,PDS,Alano De Roos,Delayed
Turin Airport,Italy,Europe,2022-06-27 00:00:00,TRN,Sherman Leinthall,Cancelled
Rincon De Los Sauces Airport,Argentina,South America,2022-10-14 00:00:00,RDS,Janith Hullett,On Time
Reggio Calabria Airport,Italy,Europe,2022-04-21 00:00:00,REG,Dalila Hawken,On Time
Villa Gesell Airport,Argentina,South America,2022-01-06 00:00:00,VLG,Wallas Phelan,On Time
Islas Malvinas Airport,Argentina,South America,2022-07-20 00:00:00,ROS,Cad Gilkison,On Time
28 de Noviembre Airport,Argentina,South America,2022-06-02 00:00:00,RYO,Guilbert Barttrum,Delayed
Hamburg-Finkenwerder Airport,Germany,Europe,2022-08-17 00:00:00,XFW,Constantino Garbar,Delayed
General Juan N Alvarez International Airport,Mexico,North America,2022-12-08 00:00:00,ACA,Roseann Lonie,Delayed
City of Derry Airport,United Kingdom,Europe,2022-05-31 00:00:00,LDY,Cassandry Grolle,Cancelled
Norwich International Airport,United Kingdom,Europe,2022-06-26 00:00:00,NWI,Georgi Arunowicz,Delayed
Bremen Airport,Germany,Europe,2022-01-07 00:00:00,BRE,Nero Hickeringill,Cancelled
Gütersloh Air Base,Germany,Europe,2022-02-07 00:00:00,GUT,Merwin Elecum,Delayed
Stuttgart Airport,Germany,Europe,2022-09-25 00:00:00,STR,Del Hamerton,On Time
Querétaro Intercontinental Airport,Mexico,North America,2022-08-21 00:00:00,QRO,Dino Jon,On Time
Don Miguel Hidalgo Y Costilla International Airport,Mexico,North America,2022-04-24 00:00:00,GDL,Morganica Astman,On Time
Genoa Cristoforo Colombo Airport,Italy,Europe,2022-01-27 00:00:00,GOA,Meara Wildsmith,Cancelled
Straubing Airport,Germany,Europe,2022-10-06 00:00:00,RBM,Marianna Shafier,Cancelled
Unst Airport,United Kingdom,Europe,2022-03-08 00:00:00,UNT,Alva Earengey,Cancelled
Querétaro Intercontinental Airport,Mexico,North America,2022-11-18 00:00:00,QRO,Mathias Mulcock,Delayed
Chichester/Goodwood Airport,United Kingdom,Europe,2022-10-14 00:00:00,QUG,Rinaldo Rosen,Delayed
Campbeltown Airport,United Kingdom,Europe,2022-06-12 00:00:00,CAL,Adena McAree,On Time
Valle del Fuerte International Airport,Mexico,North America,2022-05-26 00:00:00,LMM,Brook Trotton,On Time
RAF Akrotiri,United Kingdom,Europe,2022-05-06 00:00:00,AKT,Isidor Bigglestone,Delayed
Heide-Büsum Airport,Germany,Europe,2022-01-21 00:00:00,HEI,Arabelle Kienle,Cancelled
Belfast International Airport,United Kingdom,Europe,2022-12-10 00:00:00,BFS,Barbra Headford,Cancelled
Weeze Airport,Germany,Europe,2022-06-08 00:00:00,NRN,Floria Forsythe,On Time
RAF Cottesmore,United Kingdom,Europe,2022-07-18 00:00:00,OKH,Masha Glinde,On Time
Verona Villafranca Airport,Italy,Europe,2022-11-22 00:00:00,VRN,Ernst Bollin,Cancelled
Borkum Airport,Germany,Europe,2022-10-21 00:00:00,BMK,Iorgo Baccus,Delayed
General Villegas Airport,Argentina,South America,2022-03-06 00:00:00,VGS,Glenn Stillgoe,Cancelled
Gobernador Horacio Guzman International Airport,Argentina,South America,2022-05-20 00:00:00,JUJ,Emylee Druery,Delayed
Kassel-Calden Airport,Germany,Europe,2022-03-30 00:00:00,KSF,Frants Kleszinski,On Time
Ramstein Air Base,Germany,Europe,2022-06-16 00:00:00,RMS,Graeme Antoniat,Delayed
Formosa Airport,Argentina,South America,2022-12-18 00:00:00,FMA,Chauncey Gunson,Cancelled
Blackpool International Airport,United Kingdom,Europe,2022-10-22 00:00:00,BLK,Korella Wybron,On Time
La Plata Airport,Argentina,South America,2022-08-15 00:00:00,LPG,Deane Discombe,Delayed
Birmingham International Airport,United Kingdom,Europe,2022-06-17 00:00:00,BHX,Barris Ledram,Delayed
Rostock-Laage Airport,Germany,Europe,2022-05-28 00:00:00,RLG,Alethea Younge,Cancelled
Jose De San Martin Airport,Argentina,South America,2022-04-18 00:00:00,JSM,Clementia Nevitt,Cancelled
Comiso Airport,Italy,Europe,2022-09-23 00:00:00,CIY,Josee Tessington,Delayed
Bristol Airport,United Kingdom,Europe,2022-08-28 00:00:00,BRS,Marcellina Farraway,On Time
Wyk auf Föhr Airport,Germany,Europe,2022-03-31 00:00:00,OHR,Emery Whittingham,Delayed
Islay Airport,United Kingdom,Europe,2022-01-02 00:00:00,ILY,Lil Knappe,On Time
Lago Argentino Airport,Argentina,South America,2022-01-30 00:00:00,ING,Farlay Dislee,Delayed
Lázaro Cárdenas Airport,Mexico,North America,2022-03-13 00:00:00,LZC,Clint Sappy,Cancelled
Sunchales Aeroclub Airport,Argentina,South America,2022-07-21 00:00:00,NCJ,Shandra Fardy,On Time
Sywell Aerodrome,United Kingdom,Europe,2022-01-23 00:00:00,ORM,Barbara Emeny,Delayed
Curuzu Cuatia Airport,Argentina,South America,2022-01-27 00:00:00,UZU,Vitia Moors,Cancelled
Ciudad Obregón International Airport,Mexico,North America,2022-08-26 00:00:00,CEN,Lilian Bisco,On Time
City of Derry Airport,United Kingdom,Europe,2022-06-13 00:00:00,LDY,Michaella Snel,Cancelled
Palo Verde Airport,Mexico,North America,2022-11-24 00:00:00,SRL,Bradly Portigall,Cancelled
Palo Verde Airport,Mexico,North America,2022-02-08 00:00:00,SRL,Kennett Rosander,Delayed
Peretola Airport,Italy,Europe,2022-12-29 00:00:00,FLR,Mia Cheston,Delayed
Héroes De Malvinas Airport,Argentina,South America,2022-05-23 00:00:00,TDL,Annice Forlonge,Delayed
Cupul Airport,Mexico,North America,2022-05-18 00:00:00,TZM,Kaylyn Posten,Delayed
28 de Noviembre Airport,Argentina,South America,2022-07-09 00:00:00,RYO,Terrel Scurrey,On Time
General Urquiza Airport,Argentina,South America,2022-08-06 00:00:00,PRA,Luca Dakhno,On Time
Bremerhaven Airport,Germany,Europe,2022-02-15 00:00:00,BRV,Jorie Keyme,Cancelled
Vicenza Airport,Italy,Europe,2022-09-13 00:00:00,VIC,Locke Zavittieri,Delayed
General Mariano Matamoros Airport,Mexico,North America,2022-02-27 00:00:00,CVJ,Sutherland De Fraine,Delayed
Brindisi – Salento Airport,Italy,Europe,2022-09-19 00:00:00,BDS,Omar Ealam,Delayed
Hawarden Airport,United Kingdom,Europe,2022-12-12 00:00:00,CEG,Ermentrude Bramer,Delayed
RAF Waddington,United Kingdom,Europe,2022-07-05 00:00:00,WTN,Nani Grishanin,On Time
Abreojos Airport,Mexico,North America,2022-10-08 00:00:00,AJS,Katalin Sale,Delayed
Illesheim Air Base,Germany,Europe,2022-08-03 00:00:00,ILH,Bertrando Barnes,Delayed
Nordholz Naval Airbase,Germany,Europe,2022-06-28 00:00:00,FCN,Fredia Rilton,Delayed
Barra Airport,United Kingdom,Europe,2022-03-08 00:00:00,BRR,Sandor Rajchert,Delayed
Salina Cruz Naval Air Station,Mexico,North America,2022-05-21 00:00:00,SCX,Cletis McGlaughn,Delayed
Ministro Pistarini International Airport,Argentina,South America,2022-11-05 00:00:00,EZE,Analise Eisikowitch,Cancelled
Oxford (Kidlington) Airport,United Kingdom,Europe,2022-07-11 00:00:00,OXF,Aristotle Welchman,Delayed
Colonsay Airstrip,United Kingdom,Europe,2022-04-19 00:00:00,CSA,Vin Marjot,Delayed
Lahr Airport,Germany,Europe,2022-04-14 00:00:00,LHA,Gar Dossetter,Delayed
Blackbushe Airport,United Kingdom,Europe,2022-08-24 00:00:00,BBS,Franny Spendlove,On Time
Francisco Sarabia International Airport,Mexico,North America,2022-03-01 00:00:00,TRC,Cornell Mattam,Cancelled
Salerno Costa d'Amalfi Airport,Italy,Europe,2022-12-25 00:00:00,QSR,Kingsley Danell,On Time
Liverpool John Lennon Airport,United Kingdom,Europe,2022-07-15 00:00:00,LPL,Arel Matej,Cancelled
RAF Benson,United Kingdom,Europe,2022-07-26 00:00:00,BEX,Dianna Seal,Delayed
Presidente Peron Airport,Argentina,South America,2022-07-30 00:00:00,NQN,Mead Crimpe,Cancelled
Padova Airport,Italy,Europe,2022-11-05 00:00:00,QPA,Elden Le Noire,On Time
Ravenna Airport,Italy,Europe,2022-07-04 00:00:00,RAN,Dalston Hubbock,On Time
Sywell Aerodrome,United Kingdom,Europe,2022-05-29 00:00:00,ORM,Antoinette Bratch,On Time
Cozumel International Airport,Mexico,North America,2022-04-16 00:00:00,CZM,Hartwell Rives,Cancelled
Termas de Río Hondo international Airport,Argentina,South America,2022-06-08 00:00:00,RHD,Brnaba Setford,Cancelled
Mannheim-City Airport,Germany,Europe,2022-11-15 00:00:00,MHG,Brita Dahlborg,On Time
Flensburg-Schäferhaus Airport,Germany,Europe,2022-10-25 00:00:00,FLF,Monica Andover,On Time
Álamos Airport,Mexico,North America,2022-03-05 00:00:00,XAL,Efrem Moyser,Delayed
Bahías de Huatulco International Airport,Mexico,North America,2022-07-27 00:00:00,HUX,Morty Dahmke,Cancelled
Salina Cruz Naval Air Station,Mexico,North America,2022-11-04 00:00:00,SCX,Latashia Sellar,Cancelled
Husum-Schwesing Airport,Germany,Europe,2022-03-08 00:00:00,QHU,Cassius Piet,Delayed
Alferez Armando Rodriguez Airport,Argentina,South America,2022-10-02 00:00:00,LLS,Katti Bwye,Delayed
Rieti Airport,Italy,Europe,2022-03-28 00:00:00,QRT,Clemmy Cowdry,On Time
Angel Albino Corzo International Airport,Mexico,North America,2022-04-25 00:00:00,TGZ,Durant Foker,Cancelled
Shoreham Airport,United Kingdom,Europe,2022-02-24 00:00:00,ESH,Ellery Paszek,Delayed
Cortina Airport,Italy,Europe,2022-07-21 00:00:00,CDF,Eve Roget,On Time
Flughafen München-Riem,Germany,Europe,2022-06-23 00:00:00,MUC,Torrin Boncoeur,Delayed
Siena-Ampugnano Airport,Italy,Europe,2022-03-01 00:00:00,SAY,Rawley McGrey,On Time
Wick Airport,United Kingdom,Europe,2022-12-24 00:00:00,WIC,Donaugh Nyland,Cancelled
Southampton Airport,United Kingdom,Europe,2022-07-26 00:00:00,SOU,Romola Swett,On Time
Reconquista Airport,Argentina,South America,2022-12-02 00:00:00,RCQ,Rosemary Duley,Delayed
Ravenna Airport,Italy,Europe,2022-09-02 00:00:00,RAN,Hendrika Scullion,Cancelled
Capitan V A Almonacid Airport,Argentina,South America,2022-04-08 00:00:00,IRJ,Bo Toulch,On Time
General Lucio Blanco International Airport,Mexico,North America,2022-06-13 00:00:00,REX,Riley Collete,Cancelled
Memmingen Allgau Airport,Germany,Europe,2022-11-29 00:00:00,FMM,Eal Janous,Delayed
El Lencero Airport,Mexico,North America,2022-09-22 00:00:00,JAL,Tildie Santorini,Delayed
Colonia Catriel Airport,Argentina,South America,2022-01-04 00:00:00,CCT,Margret Poynzer,On Time
Puerto Escondido International Airport,Mexico,North America,2022-11-11 00:00:00,PXM,Demetrius Vasyunkin,On Time
Blackbushe Airport,United Kingdom,Europe,2022-06-12 00:00:00,BBS,Alyosha McQueen,On Time
San Domino Island Heliport,Italy,Europe,2022-11-02 00:00:00,TQR,Corrie Spearett,On Time
General Mariano Matamoros Airport,Mexico,North America,2022-09-14 00:00:00,CVJ,Candy Malenoir,On Time
General Francisco J. Mujica International Airport,Mexico,North America,2022-01-15 00:00:00,MLM,Doralin Segge,Cancelled
General Villegas Airport,Argentina,South America,2022-10-31 00:00:00,VGS,Datha Matysiak,Delayed
Comodoro Pedro Zanni Airport,Argentina,South America,2022-07-24 00:00:00,PEH,Jarvis Richfield,Delayed
